,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
108,Watership Down,7.6,"Martin Rosen, John Hubley","Richard Adams, Martin Rosen, John Hubley",64.0,"John Hurt, Richard Briers, Ralph Richardson, Michael Graham Cox, John Bennett, Simon Cadell, Terence Rigby, Roy Kinnear, Richard O'Callaghan, Denholm Elliott, Lynn Farleigh, Mary Maddox, Zero Mostel, Harry Andrews, Hannah Gordon, Nigel Hawthorne, Clifton Jones, Derek Griffiths","December 13, 1978 (United Kingdom)",United Kingdom,English,,"$21,641",1 hour 32 minutes
109,Enter the Dragon,7.6,Robert Clouse,"Michael Allin, Bruce Lee",83.0,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih, Robert Wall, Angela Mao, Betty Chung, Geoffrey Weeks, Bolo Yeung, Peter Archer, Li-Jen Ho, Marlene Clark, Allan Kent, Bill Keller, Mickey Caruso, Pat E. Johnson, Darnell Garcia","August 19, 1973 (United States)","Hong Kong, United States","English, Cantonese","$850,000 (estimated)","$115,762",1 hour 42 minutes
110,God's Own Country,7.6,Francis Lee,Francis Lee,85.0,"Josh O'Connor, Alec Secareanu, Gemma Jones, Ian Hart, Harry Lister Smith, Melanie Kilburn, Liam Thomas, Patsy Ferran, Moey Hassan, Naveed Choudhry, Sarah White, John McCrea, Alexander Suvandjiev, Stefan Dermendjiev","August 24, 2017 (New Zealand)",United Kingdom,"English, Romanian, Bulgarian",,"$2,532,534",1 hour 44 minutes
111,Maudie,7.6,Aisling Walsh,Sherry White,65.0,"Sally Hawkins, Ethan Hawke, Zachary Bennett, Gabrielle Rose, Lawrence Barry, Greg Malone, Billy MacLellan, Kari Matchett, Marthe Bernard, David Feehan, Nik Sexton, Judy Hancock, Mike Daly, Brian Marler, Denise Sinnott, Brandy, Tom Dunne, Lisa Machin","May 15, 2020 (India)","Canada, Ireland",English,"€4,993,020 (estimated)","$11,534,327",1 hour 55 minutes
112,From Here to Eternity,7.6,Fred Zinnemann,"Daniel Taradash, James Jones",85.0,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober, Mickey Shaughnessy, Harry Bellaver, Ernest Borgnine, Jack Warden, John Dennis, Merle Travis, Tim Ryan, Arthur Keegan, Barbara Morrison, Claude Akins, Vicki Bakken, Margaret Barstow","December 30, 1953 (India)",United States,English,"$1,650,000 (estimated)","$36,416",1 hour 58 minutes
113,Maurice,7.6,James Ivory,"E.M. Forster, Kit Hesketh-Harvey, James Ivory",75.0,"James Wilby, Rupert Graves, Hugh Grant, Denholm Elliott, Simon Callow, Billie Whitelaw, Barry Foster, Judy Parfitt, Phoebe Nicholls, Patrick Godfrey, Mark Tandy, Ben Kingsley, Kitty Aldridge, Helena Michell, Catherine Rabett, Peter Eyre, Michael Jenn, Mark Payton","September 18, 1987 (United States)",United Kingdom,English,"£1,577,000 (estimated)","$2,643,324",2 hours 20 minutes
114,Searching,7.6,Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian",71.0,"John Cho, Debra Messing, Joseph Lee, Michelle La, Sara Sohn, Alex Jayne Go, Megan Liu, Kya Dawn Lau, Dominic Hoffman, Sylvia Minassian, Melissa Disney, Connor McRaith, Colin Woodell, Joseph John Schirle, Ashley Edner, Courtney Lauren Cummings, Kenneth Mosley, Miss Benny","August 31, 2018 (India)","United States, Russia",English,"$880,000 (estimated)","$75,462,037",1 hour 42 minutes
115,Robot Dreams,7.6,Pablo Berger,"Pablo Berger, Sara Varon",87.0,Ivan Labanda,"December 6, 2023 (Spain)","Spain, France",,,"$4,671,576",1 hour 43 minutes
116,Gettysburg,7.6,Ron Maxwell,"Michael Shaara, Ron Maxwell",,"Tom Berenger, Martin Sheen, Stephen Lang, Richard Jordan, Andrew Prine, Cooper Huckabee, Patrick Gorman, Bo Brinkman, James Lancaster, William Morgan Sheppard, Kieran Mulroney, James Patrick Stuart, Tim Ruddy, Royce D. Applegate, Ivan Kane, Warren Burton, MacIntyre Dixon, Joseph Fuqua","October 8, 1993 (United States)",United States,English,"$25,000,000 (estimated)","$10,769,960",4 hours 31 minutes
117,Escape from Alcatraz,7.6,Don Siegel,"J. Campbell Bruce, Richard Tuggle",76.0,"Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, Fred Ward, Paul Benjamin, Larry Hankin, Bruce M. Fischer, Frank Ronzio, Fred Stuthman, David Cryer, Madison Arnold, Blair Burrows, Bob Balhatchet, Matthew Locricchio, Don Michaelian, Ray K. Goman, Jason Ronard","March 31, 2020 (India)",United States,English,"$8,000,000 (estimated)","$43,005,351",1 hour 52 minutes
118,Gilida,7.6,Charles Vidor,"E.A. Ellington, Jo Eisinger, Marion Parsonnet",,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia, Steven Geray, Joe Sawyer, Gerald Mohr, Mark Roberts, Ludwig Donath, Donald Douglas, Julio Abadía, Enrique Acosta, Ed Agresti, Sam Appel, Sam Ash, Nina Bara, Edward Biby, Robert Board","April 25, 1946 (United States)",United States,"English, Spanish, French, German",,"$5,999",1 hour 50 minutes
119,It Happened on Fifth Avenue,7.6,Roy Del Ruth,"Everett Freeman, Vick Knight, Herbert Clyde Lewis",66.0,"Don DeFore, Ann Harding, Charles Ruggles, Victor Moore, Gale Storm, Grant Mitchell, Edward Brophy, Alan Hale Jr., Dorothea Kent, Edward Ryan, Cathy Carter, Jean Andren, Johnny Arthur, Florence Auer, Leon Belasco, George Blagoi, Chet Brandenburg, John Breen","April 19, 1947 (United States)",United States,"English, Spanish","$1,700,000 (estimated)",,1 hour 56 minutes
120,Freedom Writers,7.6,Richard LaGravenese,"Richard LaGravenese, Freedom Writers, Erin Gruwell",64.0,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn, April Hernandez Castillo, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith, Gabriel Chavarria, Hunter Parrish, Antonio García, Giovonnie Samuels, John Benjamin Hickey, Robert Wisdom","January 5, 2007 (United States)","Germany, United States","English, Spanish","$21,000,000 (estimated)","$43,095,175",2 hours 3 minutes
121,Barton Fink,7.6,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",69.0,"John Turturro, John Goodman, Judy Davis, Michael Lerner, John Mahoney, Tony Shalhoub, Jon Polito, Steve Buscemi, David Warrilow, Richard Portnow, Christopher Murney, I.M. Hobson, Meagen Fay, Lance Davis, Harry Bugin, Anthony Gordon, Jack Denbo, Max Grodénchik","August 21, 1991 (United States)","United Kingdom, United States",English,"$9,000,000 (estimated)","$6,154,106",1 hour 56 minutes
122,The Last King of Scotland,7.6,Kevin Macdonald,"Peter Morgan, Jeremy Brock, Giles Foden",74.0,"James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington, Simon McBurney, David Oyelowo, Stephen Rwangyezi, Abby Mukiibi Nkaaga, Adam Kotz, Sam Okelo, Sarah Nagayi, Chris Wilson, Dick Stockley, Barbara Rafferty, David Ashton, Daniel Ssettaba, Apollo Okwenje Omamo, Louis Asea","September 6, 2013 (India)","United Kingdom, Germany, United States","English, French, German, Swahili","$6,000,000 (estimated)","$48,618,191",2 hours 3 minutes
123,Jeremiah Johnson,7.6,Sydney Pollack,"Vardis Fisher, Raymond W. Thorp, Robert Bunker",75.0,"Robert Redford, Will Geer, Delle Bolton, Josh Albee, Joaquín Martínez, Allyn Ann McLerie, Stefan Gierasch, Richard Angarola, Paul Benedict, Charles Tyner, Jack Colvin, Matt Clark, James M. George, Tanya Tucker","December 21, 1972 (United States)",United States,"English, Crow, French","$3,100,000 (estimated)",,1 hour 48 minutes
124,Belle De Jour,7.6,Luis Buñuel,"Joseph Kessel, Luis Buñuel, Jean-Claude Carrière",,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page, Pierre Clémenti, Françoise Fabian, Macha Méril, Muni, Maria Latour, Claude Cerval, Michel Charrel, Iska Khan, Bernard Musson, Marcel Charvey, François Maistre, Francisco Rabal, Georges Marchal, Francis Blanche","May 24, 1967 (France)","France, Italy","French, Kalmyk-Oirat, Spanish, Latin, English",,"$4,162,334",1 hour 40 minutes
125,Run Lola Run,7.6,Tom Tykwer,Tom Tykwer,79.0,"Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri, Armin Rohde, Joachim Król, Ludger Pistor, Suzanne von Borsody, Sebastian Schipper, Julia Lindig, Lars Rudolph, Andreas Petri, Klaus Müller, Utz Krause, Beate Finckh, Volkhart Buff, Ute Lubosch, Heino Ferch","February 9, 2001 (India)",Germany,"German, English, Japanese","DEM 3,500,000 (estimated)","$7,659,540",1 hour 21 minutes
126,A Little Princess,7.6,Alfonso Cuarón,"Frances Hodgson Burnett, Richard LaGravenese, Elizabeth Chandler",83.0,"Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer, Arthur Malet, Vanessa Chester, Errol Sitahal, Heather DeLoach, Taylor Fry, Darcie Bradford, Rachael Bella, Alexandra Rea-Baum, Camilla Belle, Lauren Blumenfeld, Kelsey Mulrooney, Kaitlin Cullum, Alison Moir, Time Winters","May 19, 1995 (United States)",United States,"English, French","$17,000,000 (estimated)","$10,015,449",1 hour 37 minutes
127,Kelly's Heroes,7.6,Brian G. Hutton,Troy Kennedy Martin,50.0,"Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor, Donald Sutherland, Gavin MacLeod, Hal Buckley, Stuart Margolin, Jeff Morris, Richard Davalos, Perry Lopez, Tom Troupe, Harry Dean Stanton, Dick Balduzzi, Gene Collins, Len Lesser, David Hurst, Fred Pearlman","June 23, 1970 (United States)","Yugoslavia, United States","English, French, German","$4,000,000 (estimated)","$5,200,000",2 hours 24 minutes
128,50/50,7.6,Jonathan Levine,Will Reiser,72.0,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Donna Yamamoto, Sugar Lyn Beard, Yee Jee Tso, Sarah Smyth, Peter Kelamis, Jessica Parker Kennedy, Daniel Bacon, P. Lynn Johnson, Laura Bertram","August 7, 2019 (India)",United States,English,"$8,000,000 (estimated)","$41,097,853",1 hour 40 minutes
129,1900,7.6,Bernardo Bertolucci,"Franco Arcalli, Giuseppe Bertolucci, Bernardo Bertolucci",70.0,"Robert De Niro, Gérard Depardieu, Dominique Sanda, Francesca Bertini, Laura Betti, Werner Bruhns, Stefania Casini, Sterling Hayden, Anna Henkel-Grönemeyer, Ellen Schwiers, Alida Valli, Romolo Valli, Bianca Magliacca, Giacomo Rizzo, Pippo Campanini, Paolo Pavesi, Roberto Maccanti, Antonio Piovanelli","September 1, 1976 (France)","Italy, France, West Germany",Italian,"$9,000,000 (estimated)","$1,112",5 hours 17 minutes
130,Sacrifice,7.6,Clint Eastwood,"Richard LaGravenese, Robert James Waller",69.0,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie, Sarah Zahn, Christopher Kroon, Phyllis Lyons, Debra Monk, Richard Lage, Michelle Benes, Alison Wiegert, Brandon Bobst, Pearl Faessler, R.E. 'Stick' Faessler, Tania Burt, Billie McNabb, Art Breese","June 2, 1995 (United States)",United States,English,"$24,000,000 (estimated)","$182,016,617",2 hours 15 minutes
131,Karigurashi No Arietty,7.6,Hiromasa Yonebayashi,"Mary Norton, Hayao Miyazaki, Keiko Niwa",80.0,"Bridgit Mendler, Amy Poehler, Will Arnett, Mirai Shida, Ryunosuke Kamiki, Tatsuya Fujiwara, Tomokazu Miura, Shinobu Ôtake, Keiko Takeshita, Kirin Kiki, Shin'ichi Hatori, Carol Burnett, David Henrie, Gracie Moore, Moises Arias, Peter Jason, Frank Marshall, Karey Kirkpatrick","July 17, 2010 (Japan)","Japan, France, United States",Japanese,"$23,000,000 (estimated)","$149,660,003",1 hour 34 minutes
132,Peeping Tom,7.6,Michael Powell,Leo Marks,,"Karlheinz Böhm, Anna Massey, Moira Shearer, Maxine Audley, Brenda Bruce, Miles Malleson, Esmond Knight, Martin Miller, Michael Goodliffe, Jack Watson, Shirley Anne Field, Pamela Green, John Barrard, William Baskiville, Keith Baxter, Jack Carter, Linda Castle, John Chappell","May 16, 1960 (United Kingdom)",United Kingdom,English,"£135,000 (estimated)","$99,129",1 hour 41 minutes
133,Seven Pounds,7.6,Gabriele Muccino,Grant Nieporte,36.0,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, Barry Pepper, Elpidia Carrillo, Robinne Lee, Joe Nunez, Bill Smitrovich, Tim Kelleher, Gina Hecht, Andy Milder, Judyann Elder, Sarah Jane Morris, Madison Pettis, Ivan Angulo, Octavia Spencer, Cynthia Rube","February 13, 2009 (India)",United States,"English, Spanish","$55,000,000 (estimated)","$169,748,929",2 hours 3 minutes
134,Where Eagles Dare,7.6,Brian G. Hutton,Alistair MacLean,63.0,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark, Michael Hordern, Donald Houston, Peter Barkworth, William Squire, Robert Beatty, Brook Williams, Neil McCarthy, Vincent Ball, Anton Diffring, Ferdy Mayne, Derren Nesbitt, Victor Beaumont, Ingrid Pitt, Chris Adcock","March 12, 1969 (United States)","United States, United Kingdom","English, German","$7,700,000 (estimated)","$7,100,435",2 hours 38 minutes
135,Io Capitano,7.6,Matteo Garrone,"Matteo Garrone, Massimo Ceccherini, Massimo Gaudioso",79.0,"Seydou Sarr, Moustapha Fall, Issaka Sawadogo, Hichem Yacoubi, Doodou Sagna, Ndeye Khady Sy, Venus Gueye, Oumar Diaw, Joe Lassana, Mamadou Sani, Bamar Kane, Beatrice Gnonko, Flaure B.B. Kabore, Affif Ben Badra, Observateur Ebène, Jackie Zappa, Adbellah Elbkiri, Bidar Abdelahad","September 7, 2023 (Italy)","Italy, Belgium, France","Wolof, French, Arabic, English","€12,113,000 (estimated)","$7,636,951",2 hours 1 minute
136,21 Grams,7.6,Alejandro G. Iñárritu,Guillermo Arriaga,70.0,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston, Carly Nahon, Claire Pakis, Nick Nichols, Charlotte Gainsbourg, John Rubinstein, Eddie Marsan, Loyd Keith Salter, Antef A. Harris, Melissa Leo, Marc Musso, Teresa Delgado, Trent Dee, Tony Guyton, Wayne E. Beech Jr.","April 1, 2022 (India)",United States,English,"$20,000,000 (estimated)","$60,466,876",2 hours 4 minutes
137,Rebel Without a Cause,7.6,Nicholas Ray,"Stewart Stern, Irving Shulman, Nicholas Ray",89.0,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt, Steffi Sidney, Marietta Canty, Virginia Brissac, Beverly Long, Ian Wolfe, Frank Mazzola, Robert Foulk, Jack Simmons","October 27, 1955 (United States)",United States,English,"$1,500,000 (estimated)","$217,945",1 hour 51 minutes
138,El Cuerpo,7.6,Oriol Paulo,"Oriol Paulo, Lara Sendim",,"Jose Coronado, Hugo Silva, Belén Rueda, Aura Garrido, Miquel Gelabert, Juan Pablo Shuk, Oriol Vila, Carlota Olcina, Patrícia Bargalló, Mia Esteve, Sílvia Aranda, Manel Dueso, Pere Brasó, Albert López-Murtra, Paco Moreno, Aida Oset, Jordi Planas, Aina Planas","December 21, 2012 (Spain)",Spain,Spanish,,"$8,779,609",1 hour 52 minutes
139,Star Trek: First Contact,7.6,Jonathan Frakes,"Gene Roddenberry, Rick Berman, Brannon Braga",70.0,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, Alfre Woodard, James Cromwell, Alice Krige, Michael Horton, Neal McDonough, Marnie McPhail, Robert Picardo, Dwight Schultz, Adam Scott, Jack Shearer, Eric Steinberg","November 22, 1996 (United States)",United States,English,"$45,000,000 (estimated)","$146,027,888",1 hour 51 minutes
140,Philomena,7.6,Stephen Frears,"Steve Coogan, Jeff Pope, Martin Sixsmith",77.0,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford, Ruth McCabe, Peter Hermann, Sean Mahon, Anna Maxwell Martin, Michelle Fairley, Wunmi Mosaku, Amy McAllister, Charlie Murphy, Cathy Belton, Kate Fleetwood, Charissa Shearer, Nika McGuigan, Rachel Wilcock","November 1, 2013 (United Kingdom)","United Kingdom, France, United States",English,"$12,000,000 (estimated)","$100,129,872",1 hour 38 minutes
141,The Boy Who Harnessed the Wind,7.6,Chiwetel Ejiofor,"Chiwetel Ejiofor, William Kamkwamba, Bryan Mealer",68.0,"Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo, Robert Agengo, Fiskan Makawa, Lily Banda, Aïssa Maïga, Fredrick Lukhere, Hestingzi Phiri, Rophium Banda, Philbert Falakeza, Samson Kambalu, Raymond Ofula, Noma Dumezweni, Lemogang Tsipa, Joseph Marcell, Martin Githinji, Melvin Alusa","March 8, 2019 (India)","United Kingdom, Malawi, United States","Nyanja, English, Arabic",,,1 hour 53 minutes
142,Hotel Mumbai,7.6,Anthony Maras,"John Collee, Anthony Maras",62.0,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher, Amandeep Singh, Suhail Nayyar, Manoj Mehra, Dinesh Kumar, Amritpal Singh, Kapil Kumar Netra, Adithi Kalkunte, Alex Pinder, Vipin Sharma, Tilda Cobham-Hervey, Jason Isaacs, Gaurav Paswala, Natasha Liu Bordizzo, Angus McLaren","November 29, 2019 (India)","Australia, United States, United Kingdom, Singapore, India","Hindi, English","$17,300,000 (estimated)","$21,315,827",2 hours 3 minutes
143,Giant,7.6,George Stevens,"Edna Ferber, Fred Guiol, Ivan Moffat",84.0,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, Judith Evelyn, Earl Holliman, Robert Nichols, Paul Fix, Alexander Scourby, Fran Bennett, Charles Watts, Elsa Cárdenas","November 24, 1956 (United States)",United States,"English, Spanish","$5,400,000 (estimated)","$32,857,066",3 hours 21 minutes
144,Walkabout,7.6,Nicolas Roeg,"Edward Bond, Donald G. Payne, Nicolas Roeg",85.0,"Jenny Agutter, David Gulpilil, Luc Roeg, John Meillon, Robert McDarra, Peter Carver, John Illingsworth, Hilary Bamberger, Barry Donnelly, Noeline Brown, Carlo Manchini, George Roubicek","July 1, 1971 (United States)","United Kingdom, Australia, United States","English, Aboriginal, Czech, French","A$1,000,000 (estimated)","$1,888",1 hour 40 minutes
145,Sabrina,7.6,Billy Wilder,"Billy Wilder, Samuel A. Taylor, Ernest Lehman",72.0,"Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, John Williams, Martha Hyer, Joan Vohs, Marcel Dalio, Marcel Hillaire, Nella Walker, Francis X. Bushman, Ellen Corby, David Ahdar, Raymond Bailey, Brooks Benedict, Marjorie Bennett, Lovyss Bradley, Ralph Brooks","November 9, 1954 (India)",United States,"English, French","$2,238,813 (estimated)","$2,356",1 hour 53 minutes
146,Fistful of Dynamite,7.6,Sergio Leone,"Sergio Leone, Sergio Donati, Luciano Vincenzoni",77.0,"Rod Steiger, James Coburn, Romolo Valli, Maria Monti, Rik Battaglia, Franco Graziosi, Antoine Saint-John, Vivienne Chandler, David Warbeck, Giulio Battiferri, Poldo Bendandi, Omar Bonaro, Roy Bosier, John Frederick, Amato Garbini, Michael Harvey, Biagio La Rocca, Furio Meniconi","October 29, 1971 (Italy)",Italy,"English, Italian, Spanish",,$980,2 hours 37 minutes
147,The Peasants,7.6,"DK Welchman, Hugh Welchman","Wladyslaw Stanislaw Reymont, DK Welchman, Hugh Welchman",61.0,"Kamila Urzedowska, Robert Gulaczyk, Miroslaw Baka, Sonia Mietielica, Ewa Kasprzyk, Cyprian Grabowski, Mateusz Rusin, Cezary Lukaszewicz, Dorota Stalinska, Helena Korczycka, Andrzej Mastalerz, Andrzej Konopka, Sonia Bohosiewicz, Maciej Musial, Malgorzata Kozuchowska, Anna Grzeszczak, Matt Malecki, Lech Dyblik","October 13, 2023 (Poland)","Poland, Serbia, Lithuania","Polish, Latin",,"$10,064,347",1 hour 54 minutes
148,The Kite Runner,7.6,Marc Forster,"David Benioff, Khaled Hosseini",61.0,"Khalid Abdalla, Ahmad Khan Mahmoodzada, Atossa Leoni, Shaun Toub, Sayed Jafar Masihullah Gharibzada, Zekeria Ebrahimi, Mir Mahmood Shah Hashimi, Homayoun Ershadi, Nabi Tanha, Elham Ehsas, Bahram Ehsas, Tamim Nawabi, Mohamad Nabi Attai, Mohamad Nadir Sarwari, Mustafa Haidari, Ahmad Yasar Shir Agha, Mohammad Aman Joya, Abdul Azim Wahabzada","October 21, 2020 (India)","United Kingdom, China, United States","Dari, English, Pashtu, Russian, Urdu, Arabic","$20,000,000 (estimated)","$75,011,029",2 hours 8 minutes
149,The Two Popes,7.6,Fernando Meirelles,Anthony McCarten,75.0,"Jonathan Pryce, Anthony Hopkins, Juan Minujín, Luis Gnecco, Cristina Banegas, María Ucedo, Renato Scarpa, Sidney Cole, Achille Brugnini, Federico Torre, Germán De Silva, Lisandro Fiks, Libero De Rienzo, Willie Jonah, Sofia Cessak, Vincent Riotta, Daphne Mereu, Martina Sammarco","December 20, 2019 (United Kingdom)","United Kingdom, Italy, United States","English, Spanish, Italian, Latin, Portuguese, French, German","$40,000,000 (estimated)","$243,711",2 hours 5 minutes
150,Joyeux Noel,7.6,Christian Carion,Christian Carion,70.0,"Diane Kruger, Benno Fürmann, Guillaume Canet, Natalie Dessay, Rolando Villazón, Gary Lewis, Dany Boon, Daniel Brühl, Lucas Belvaux, Alex Ferns, Steven Robertson, Frank Witter, Bernard Le Coq, Ian Richardson, Thomas Schmauser, Joachim Bißmeier, Robin Laing, Michel Serrault","November 9, 2005 (France)","France, Germany, United Kingdom, Belgium, Romania, Japan","French, German, English, Latin","€18,151,814 (estimated)","$17,709,155",1 hour 56 minutes
151,Shane,7.6,George Stevens,"A.B. Guthrie Jr., Jack Sher, Jack Schaefer",85.0,"Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde, Jack Palance, Ben Johnson, Edgar Buchanan, Emile Meyer, Elisha Cook Jr., Douglas Spencer, John Dierkes, Ellen Corby, Paul McVey, John Miller, Edith Evanson, Leonard Strong, Ray Spiker, Janice Carroll","August 14, 1953 (Canada)",United States,English,"$3,100,000 (estimated)","$21,412",1 hour 58 minutes
152,Les yeux sans visage,7.6,Georges Franju,"Jean Redon, Pierre Boileau, Thomas Narcejac",90.0,"Pierre Brasseur, Alida Valli, Juliette Mayniel, Alexandre Rignault, Béatrice Altariba, Charles Blavette, Edith Scob, Claude Brasseur, Michel Etcheverry, Yvette Etiévant, René Génin, Lucien Hubert, Marcel Pérès, François Guérin, France Asselin, Charles Bayard, Gabrielle Doulcet, Corrado Guarducci","January 11, 1960 (France)","France, Italy",French,,"$61,453",1 hour 30 minutes
153,Nashville,7.6,Robert Altman,Joan Tewkesbury,96.0,"Keith Carradine, Karen Black, Ronee Blakley, Shelley Duvall, David Arkin, Barbara Baxley, Ned Beatty, Timothy Brown, Geraldine Chaplin, Robert DoQui, Allen Garfield, Henry Gibson, Scott Glenn, Jeff Goldblum, Barbara Harris, David Hayward, Michael Murphy, Allan F. Nicholls",July 1975 (Canada),United States,English,"$2,200,000 (estimated)","$9,994,006",2 hours 40 minutes
154,The Bishop's Wife,7.6,Henry Koster,"Robert E. Sherwood, Leonardo Bercovici, Robert Nathan",73.0,"Cary Grant, Loretta Young, David Niven, Monty Woolley, James Gleason, Gladys Cooper, Elsa Lanchester, Sara Haden, Karolyn Grimes, Tito Vuolo, Regis Toomey, Sarah Edwards, Margaret McWade, Anne O'Neal, Ben Erway, Erville Alderson, Robert J. Anderson, Teddy Infuhr","February 16, 1948 (United States)",United States,"English, French",,$44,1 hour 49 minutes
155,The Taking of Pelham One Two Three,7.6,Joseph Sargent,"John Godey, Peter Stone",68.0,"Walter Matthau, Robert Shaw, Martin Balsam, Hector Elizondo, Earl Hindman, James Broderick, Dick O'Neill, Lee Wallace, Tom Pedi, Beatrice Winde, Jerry Stiller, Nathan George, Rudy Bond, Kenneth McMillan, Doris Roberts, Julius Harris, Cynthia Belgrave, Anna Berger",1977 (India),United States,"English, Spanish","$5,000,000 (estimated)",$357,1 hour 44 minutes
156,The Muppets,7.6,James Frawley,"Jerry Juhl, Jack Burns",74.0,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt, Dave Goelz, Charles Durning, Austin Pendleton, Edgar Bergen, Milton Berle, Mel Brooks, James Coburn, Dom DeLuise, Elliott Gould, Bob Hope, Madeline Kahn, Carol Kane, Cloris Leachman, Steve Martin","June 22, 1979 (United States)","United Kingdom, United States",English,,"$65,811,736",1 hour 35 minutes
157,The Long Good Friday,7.6,John Mackenzie,Barrie Keeffe,82.0,"Bob Hoskins, Helen Mirren, Paul Freeman, Leo Dolan, Kevin McNally, Patti Love, P.H. Moriarty, Derek Thompson, Bryan Marshall, Ruby Head, Charles Cork, Olivier Pierre, Pierce Brosnan, Daragh O'Malley, Dave King, Karl Howman, Brian Hall, Alan Ford","March 29, 1981 (United Kingdom)",United Kingdom,"English, French",,,1 hour 54 minutes
158,A Very Long Engagement,7.6,Jean-Pierre Jeunet,"Sébastien Japrisot, Jean-Pierre Jeunet, Guillaume Laurant",76.0,"Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon, Chantal Neuwirth, André Dussollier, Ticky Holgado, Marion Cotillard, Dominique Bettenfeld, Jean-Pierre Darroussin, Clovis Cornillac, Jean-Pierre Becker, Denis Lavant, Jérôme Kircher, Albert Dupontel, Jean-Paul Rouve, Elina Löwensohn, Julie Depardieu","October 27, 2004 (France)","France, United States","French, German, Corsican","$56,600,000 (estimated)","$69,424,389",2 hours 13 minutes
159,Short Cuts,7.6,Robert Altman,"Raymond Carver, Robert Altman, Frank Barhydt",81.0,"Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison, Jack Lemmon, Zane Cassidy, Matthew Modine, Anne Archer, Fred Ward, Jennifer Jason Leigh, Chris Penn, Joseph C. Hopkins, Josette Maccario, Lili Taylor, Robert Downey Jr., Madeleine Stowe, Cassie Friel, Dustin Friel","October 1, 1993 (Italy)",United States,English,"$12,000,000 (estimated)","$6,110,979",3 hours 8 minutes
160,Victoria,7.6,Sebastian Schipper,"Sebastian Schipper, Olivia Neergaard-Holm, Eike Frederik Schulz",77.0,"Laia Costa, Frederick Lau, Franz Rogowski, Burak Yigit, Max Mauff, André Hennicke, Eike Frederik Schulz, Hans-Ulrich Laux, Lena Klenke, Philipp Kubitza, Martin Goeres, Andreas Schmitka, Jan Breustedt, David Micas, Timo Honsa, Bernd Weikert, Adolfo Assor, Ansgar Ballendat","June 11, 2015 (Germany)",Germany,"German, English, Spanish, Turkish",,"$3,245,470",2 hours 18 minutes
161,Shelter,7.6,Jonah Markowitz,Jonah Markowitz,66.0,"Trevor Wright, Brad Rowe, Tina Holmes, Jackson Wurth, Katie Walder, Matthew Bushell, Ross Thomas, Albert Reed, Joy Gohring, Don Margolin, Alejandro Patiño, Caitlin Crosby, Alicia Sixtos, Tarek Zohdy, Robbi Chong, Charlie Disalvatore, Christina Blevins, Dominic Figlio","April 16, 2009 (Germany)",United States,English,,"$142,666",1 hour 37 minutes
162,On Golden Pond,7.6,Mark Rydell,Ernest Thompson,68.0,"Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon, Dabney Coleman, William Lanteau, Christopher Rydell, Troy Garity","October 10, 1983 (India)",United States,English,"$7,500,000 (estimated)","$119,285,810",1 hour 49 minutes
